Page / Section	English Content	Arabic Translation
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	Cancellations made within the permitted timeframe as communicated at booking will be processed without penalty. Late cancellations or no-shows may be subject to a cancellation fee equivalent to a portion or the full fare of the booked service, as detailed in our Cancellation Policy.	الإلغاءات ضمن الإطار الزمني المسموح به لن تُطبَّق عليها أي رسوم. الإلغاء المتأخر أو عدم الحضور قد يُخضع لرسوم إلغاء تعادل جزءاً من الأجرة أو كاملها.
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	5.2 White Line Cancellations	5.2 الإلغاء من قبل وايت لاين
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	In rare circumstances where White Line must cancel a confirmed booking due to operational constraints, force majeure, or safety concerns, we will notify the user as soon as possible and offer either a full refund or rebooking at no additional charge.	في الحالات النادرة التي تضطر فيها وايت لاين لإلغاء حجز مؤكد، سنُخطرك فوراً ونقدم استرداداً كاملاً أو إعادة جدولة دون رسوم.
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	5.3 Refunds	5.3 المبالغ المستردة
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	Eligible refunds will be processed to the original payment method within 5–10 business days, subject to the policies of the relevant payment provider. White Line is not responsible for delays caused by third-party payment processors.	تُعالَج المبالغ المستردة المؤهلة على وسيلة الدفع الأصلية خلال 5–10 أيام عمل.
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	6. User Conduct & Responsibilities	6. سلوك المستخدم ومسؤولياته
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	When using White Line services, you agree to:	عند استخدام خدمات وايت لاين، توافق على:
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	Treat all White Line chauffeurs and staff with dignity and respect	معاملة جميع السائقين والموظفين باحترام
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	Not engage in any illegal, abusive, or threatening behavior inside or outside the vehicle	عدم الانخراط في أي سلوك غير قانوني أو مسيء أو مهدد
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	Not consume alcohol or controlled substances inside the vehicle unless explicitly permitted	عدم تناول الكحول أو المواد الخاضعة للرقابة داخل المركبة إلا بإذن صريح
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	Not smoke or vape inside any White Line vehicle	عدم التدخين أو الاستخدام في أي مركبة تابعة لوايت لاين
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	Ensure all passengers in your booking comply with these conduct standards	ضمان امتثال جميع ركاب حجزك لهذه المعايير
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	Compensate White Line for any damage caused to the vehicle by you or your party	تعويض وايت لاين عن أي أضرار تلحق بالمركبة
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	Comply with all applicable laws, regulations, and local ordinances during your journey	الامتثال لجميع القوانين واللوائح المعمول بها
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	White Line reserves the right to terminate a journey and refuse future service to any user who violates these conduct standards.	تحتفظ وايت لاين بحق إنهاء الرحلة ورفض الخدمة مستقبلاً لأي مستخدم ينتهك هذه المعايير.
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	7. Chauffeur Conduct & Standards	7. معايير السائقين
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	All White Line chauffeurs are professionally trained, background-checked, and held to strict service standards. Our chauffeurs are committed to punctuality, discretion, and delivering a premium passenger experience. White Line continuously monitors chauffeur performance through passenger feedback and internal quality reviews.	جميع سائقي وايت لاين مدربون مهنياً وخاضعون للتحقق من الخلفية ومُلزمون بمعايير خدمة صارمة. تراقب وايت لاين أداء السائقين باستمرار من خلال تقييمات الركاب ومراجعات الجودة الداخلية.
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	8. Limitation of Liability	8. تحديد المسؤولية
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	8.1 Service Disruptions	8.1 انقطاع الخدمة
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	White Line shall not be liable for delays, cancellations, or service interruptions caused by circumstances beyond our reasonable control, including but not limited to traffic conditions, road closures, severe weather, acts of God, or third-party service failures.	لا تتحمل وايت لاين المسؤولية عن التأخيرات أو الإلغاءات الناجمة عن ظروف خارجة عن إرادتها كأحوال المرور أو إغلاق الطرق أو الأحداث القاهرة.
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	8.2 Indirect Damages	8.2 الأضرار غير المباشرة
Terms & Conditions Page — Terms Content (whiteline.markition.com/terms)	To the fullest extent permitted by applicable law, White Line shall not be liable for any indirect, incidental, consequential, or punitive damages arising from your use of our services, including loss of business opportunities, missed flights or appointments, or similar consequential losses.	لا تتحمل وايت لاين بأي حال المسؤولية عن الأضرار غير المباشرة أو العرضية أو التبعية الناجمة عن استخدام خدماتنا.
